id	mode	subject	needed_for_specific_answer	first_question	optional_details
CORE_003	explain	The item or passage to explore	Only clarify which item when several are plausible	Which part would you like me to explain in more depth?	Learning goal and preferred depth
CORE_004	explain	The current topic or entity	Only clarify the topic if it is absent or ambiguous	Which topic would you like to see the bigger picture for?	Goal and related areas of interest
CORE_005	explain	The entity to connect to related options	Clarify the entity; ask relationship type only if it changes relevance	What would you like me to find related options for?	Goal, relationship type and location for local options
CORE_006	scoped	At least two named options	Options are needed for a comparison; user priorities are needed only to recommend a winner	Which options would you like to compare?	Most important trade-off, budget and location
CORE_007	explain	The term, passage or concept	Only clarify an unresolved reference; no personal profile required	Which term or part would you like explained?	Familiarity and an example from the user's life
CORE_008	explain	The finding or concept	A goal or context is needed only to claim personal relevance	What are you hoping this will help you decide?	Current role and practical constraints
CORE_009	personal	The decision or goal	Current situation and intended outcome before a tailored next action; offer exploration if undecided	What would you most like to move forward with?	Urgency, constraints and steps already tried
CORE_010	scoped	The claim to check	Exact claim and the source or document if the claim depends on a private document	Which statement would you like checked?	Date, jurisdiction and available source links
COURSE_001	scoped	Course and provider	Identify the course before provider-specific details; intake only for date-sensitive differences	Which course and provider are you looking at?	Study goal, delivery preference and intended intake
COURSE_002	scoped	Courses and providers to compare	At least two options; priorities only for a personal recommendation	Which courses would you like to compare?	Cost, schedule, location and career priorities
COURSE_003	explain	Qualification type or named course	Country only for framework level or equivalence; course/provider only for a specific award	Which qualification would you like explained?	Previous study and target role
COURSE_004	scoped	Course and provider	Exact course, then intake/version only if course structures differ	Which course and provider should I explain the structure of?	Specialisation and study pace
COURSE_005	scoped	Course and provider, or a supplied unit list	Identify the syllabus; year/specialisation only if necessary to select units	Which course are these units for?	Skill interests and units the user finds confusing
COURSE_006	scoped	Course and provider	Identify the course before naming its actual specialisations	Which course would you like to explore specialisations for?	Interests, target career and intake
COURSE_007	scoped	Course or supplied curriculum	Course identity or syllabus before asserting taught skills	Which course should I map the skills for?	Target role and specialisation
COURSE_008	scoped	Course and provider	Course identity; jurisdiction only for regulated entry or local job requirements	Which course are you considering?	Career interests, specialisation and preferred work location
COURSE_009	scoped	Course and target employment market	Course plus user-chosen city, country or remote scope before local employer matching	Where would you like to look for employers?	Target role, industry and specialisation
COURSE_010	personal	Course/provider and entry rules	Only applicant facts that the actual entry rules depend on; do not collect a full biography	What qualification or study have you completed so far?	Intake and relevant pathway qualifications
COURSE_011	personal	Course/provider and fee period	Fee category for a personal fee; residency or other eligibility facts only when a specific funding rule requires them	Are you looking at domestic or international student fees, or are you unsure?	Intake, study load and funding question
COURSE_012	scoped	Course and provider	Identify course for delivery claims; availability only if assessing personal schedule fit	Which course would you like to understand the study commitments for?	Weekly availability, caring commitments and delivery preferences
COURSE_013	scoped	Course and target role	Both comparison endpoints; no personal skill questionnaire for a curriculum gap	Which job would you like to compare this course with?	Specialisation, seniority and jurisdiction
COURSE_014	scoped	Course and intended occupation or field	Course identity and relevant target before judging curriculum currency	Which role or field should I check this course against?	Specialisation, local market and relevant time period
COURSE_015	personal	Goal and current route or obstacle	Goal or obstacle to tailor alternatives; ask only the constraint that changes feasible routes	What is the main thing your current option does not solve?	Location, time, budget, delivery and prior learning
COURSE_016	explain	Learning type, such as apprenticeship or short course	No personal intake; country only for jurisdiction-specific recognition claims	Which type of learning would you like explained?	Goal and desired recognition
MICRO_001	scoped	Microcredential and provider	Identify the credential before credit, assessment or recognition claims	Which microcredential and provider are you considering?	Target skill, prior learning and intended use
CAREER_001	explain	Occupation	Occupation name; location only for local pay, regulation or demand	Which career would you like to understand?	Interests, work preferences and country
CAREER_002	explain	Occupation or role family	Role family before explaining levels; evidence only if assessing the user's level	Which career would you like to see the levels for?	Current role, industry and target level
CAREER_003	explain	Career or field	Identify the field; personal preferences are optional for exploration	Which career field would you like to explore?	Interests, goals and location
CAREER_004	personal	Current role and desired direction	Current starting point; clarify target only for a specific progression plan, allow exploratory branches	What role are you in now?	Experience, strengths, target level and constraints
CAREER_005	personal	Current background and target direction	Starting point and target for a transition plan; ask one key feasibility constraint at a time	What kind of work would you like to move towards?	Transferable experience, time, budget and location
JOB_001	scoped	Vacancy advertisement or identifiable vacancy	Actual ad/link or supplied description before employer-specific claims	Can you share the job ad or the role and employer?	User questions and relevant experience
JOB_002	explain	Occupation or vacancy	Occupation for typical requirements; actual ad for that vacancy's requirements	Which job would you like the requirements explained for?	Seniority, industry and location
JOB_003	explain	Occupation or vacancy	Identify role; actual ad needed only for employer-specific task claims	Which role would you like to understand day to day?	Specialisation and seniority
JOB_004	explain	Occupation or vacancy	Identify role; personal profile only for a personal gap assessment	Which job should I explain the skills for?	Seniority, industry and local context
JOB_005	explain	Occupation or vacancy	Identify role; company-specific technology claims need source evidence	Which role would you like to understand the tools for?	Industry, seniority and technologies already known
JOB_006	scoped	Occupation and labour market	Occupation and user-entered location; agree time horizon for a specific forecast	Which city, region or country should I check demand in?	Industry and time horizon
JOB_007	scoped	Occupation and regions to compare	Role plus regions; do not infer locations from IP or timezone	Which places would you like to compare for this job?	Remote work preference and period
JOB_008	explain	Occupation or task list	Role for general task analysis; actual tasks only for a personal workplace assessment	Which role or tasks would you like to explore?	Industry, time horizon and tools used at work
SKILL_001	explain	Skill	Only the skill name; beginner explanation does not require a profile	Which skill would you like to understand?	Goal and a familiar real-life context
SKILL_002	personal	Skill and its use context	Work examples or demonstration for a personal proficiency judgement; explain levels without evidence	Can you describe something you have done using this skill?	Role and desired level
SKILL_003	personal	Target skills and current evidence	Target plus relevant examples of current capability; distinguish unknown from missing skill	What role or level are you aiming for?	Projects, experience and available learning time
SKILL_004	personal	Current experience and target role	Both endpoints plus examples before claiming transferable competence	What work or activities have you already done?	Industry and supporting examples
SKILL_005	personal	Target and current capabilities	Goal plus starting point for prioritised personal recommendations	What would you like these new skills to help you do?	Time, budget, urgency and learning preferences
SKILL_006	scoped	Skill and market	Skill and geographic scope; define period before reporting a measured trend	Which country or region should I check this skill in?	Industry, occupation and time period
SKILL_007	explain	Skill or tool	Identify skill/tool; market and period only for measured replacement claims	Which skill or tool are you wondering about?	Industry, role and planning horizon
SKILL_008	explain	Starting skill	Only the starting skill for related learning options	Which skill would you like to build on?	Target role and existing strengths
SKILL_009	explain	Skill and intended learning outcome	Skill only to start a beginner lesson; level and constraints only when a tailored plan depends on them	Which skill would you like to learn?	Current confidence, available time, budget and preferred practice style
SKILL_010	scoped	Skill to learn	Skill; location only for local courses, learning level only if choices would differ materially	What skill would you like a course to help you learn?	Online/local preference, budget, time and recognition needs
SKILL_011	explain	Skill	Skill for related occupations; location only for actual local vacancies	Which skill would you like to connect to jobs?	Depth of experience, industry and work location
SKILL_012	scoped	Skill and employer search area	Skill plus geographic or remote scope for specific employer matches	Where would you like to find companies using this skill?	Industry, job family and time period
IND_001	explain	Industry	Only the industry for an overview; location for regional facts	Which industry would you like to understand?	Location and reason for exploring
IND_002	explain	Industry	Industry name; taxonomy IDs and current depth are system context, not user questions	Which industry would you like to break into smaller areas?	Areas of interest
IND_003	explain	Industry	Industry for an exploratory map; goal optional	Which industry would you like to explore niches in?	Goals and local market
IND_004	explain	Industry	Industry for a role map; location only for current local job claims	Which industry would you like to see jobs in?	Specialisation, location and seniority
