"id","name","domain","purpose","use_when","trigger_examples","mini_prompt"
"CORE_001","Classify User Context","Control","Identify who the user is, their situation, goal and decision stage so later tools are relevant.","At the start of a flow or when the user situation changes.","I am in Year 12; I want to change careers; we need to train our staff","From the latest message and known profile, classify user_type, current_state, goal, decision_stage, location, constraints and unresolved_unknowns. Do not recommend anything yet. Return only fields needed to route the next response."
"CORE_002","Identify Entity and Intent","Control","Detect what object the user is asking about and what operation they want.","Before choosing a specialised micro-tool.","Tell me more about this; compare these; what skills are missing; who hires for this","Identify intent, primary_entity_type, primary_entity_id, secondary_entities, requested_depth and whether the user wants explain, compare, specialise, evaluate, map, trend, gap or act. Prefer stable IDs over names."
"CORE_003","Go Deeper","Control","Move one level deeper inside the current object without restarting the conversation.","When the user asks for more detail, opens an item, or selects a child element.","more details; drill into that; what is inside this; show specialisations","Expand exactly one useful level deeper from the current entity. Show the most decision-relevant children first, preserve the parent context, and return 2-5 next drill-down actions."
"CORE_004","Go Broader","Control","Move upward to parent categories or adjacent broader fields.","When the user is over-specialised, confused, or asks what broader field something belongs to.","what field is this in; broader careers; show the parent industry","Return the immediate parent category, one broader parent if useful, and a small set of adjacent branches. Explain the relationship in one line each."
"CORE_005","Related Entities","Control","Connect an entity to useful related objects in other Yuzee domains.","When the user wants to move from a course to jobs, a skill to companies, a company to training, etc.","what jobs use this; which courses teach it; which companies need this","Map the current entity to the requested related entity type. Rank relationships by directness and evidence strength. Return why each relationship exists."
"CORE_006","Compare Entities","Control","Compare 2-4 entities against the user goal rather than generic rankings.","When two or more items of the same or compatible type are selected.","compare these courses; which career is better; compare companies; compare industries","Compare the selected entities only on factors that materially affect this user. Highlight the biggest differences, trade-offs, closer fit, uncertainty and what could change the result. Avoid a generic feature dump."
"CORE_007","Explain This","Control","Give a concise plain-language explanation tied to the user context.","When a user asks what a term, result, score or object means.","what does this mean; explain AQF 7; what is MLOps","Explain the concept in plain language for this user. Include what it is, why it matters here, and one concrete example. Do not expand into unrelated advice."
"CORE_008","Why This Matters","Control","Translate information into personal, employer or institution consequences.","When the user sees a fact but needs to understand its significance.","why is this important; why should I care; what does this mean for us","Explain the consequence of this finding for the current goal. Separate immediate impact, future impact and whether action is actually required."
"CORE_009","Next Best Action","Control","Choose the most useful next step after the current answer.","After a tool response or when the user asks what to do next.","what should I do next; next step; what now","Recommend one primary next action and up to three alternatives. Prefer actions that reduce the biggest unresolved decision or gap. Explain each in one short line."
"CORE_010","Evidence Check","Control","Audit evidence strength before presenting high-impact recommendations.","For comparisons, shortages, future trends, company needs, eligibility and high-impact decisions.","show evidence; how sure are you; verify this","For each material claim, identify source, date, geography, evidence state and confidence. Flag unsupported, stale or conflicting claims. Return corrected wording where needed."
"COURSE_001","Course Details","Education","Open a focused course profile without generating a full report.","When a user clicks a course or asks for more detail.","tell me more about this course; open course; course details","Summarise this course for the current user: purpose, qualification/level, duration, delivery, structure, major specialisations, entry, cost/funding status where known, skills, work-integrated learning and main outcomes. Keep each item concise and expose deeper tools."
"COURSE_002","Compare Courses","Education","Compare selected courses for a specific goal and circumstance.","When 2-4 courses are selected.","compare these; which course is better for me","Compare selected courses on career alignment, curriculum depth, specialisation, practical experience, delivery, entry, cost/funding, flexibility and gaps. Weight only factors relevant to this user. State the biggest trade-off and what could change the result."
"COURSE_003","Course Level and Qualification","Education","Explain qualification type, AQF level and learning complexity.","When users need to understand Certificate/Diploma/Degree/Postgraduate level differences.","what level is this; is diploma lower than bachelor; what does AQF 7 mean","Identify qualification type and AQF level where applicable. Explain complexity, typical learning outcome and progression implications. Keep qualification level separate from skill proficiency and job seniority."
"COURSE_004","Course Structure","Education","Show how a course is built.","When the user asks what they will study or how the program is organised.","show structure; core vs electives; how is the degree built","Break the course into compulsory core, majors/specialisations, minors/streams, electives, capstone, WIL and sequencing. Highlight which components materially affect the user's goal."
"COURSE_005","Course Units","Education","Drill from a course into units/subjects and what each contributes.","When the user wants subject-level detail.","which subjects teach AI; show units; what do I study in year 2","Return only the units relevant to the requested focus or stage. For each unit show status (core/elective), what it teaches, skills/tools, prerequisites and contribution to the goal."
"COURSE_006","Course Specialisations","Education","Explore majors, minors, streams and course specialisations.","When a course offers multiple directions.","what majors are there; which specialisation suits AI; show streams","List available specialisations and explain what each changes: deeper subjects, skills, likely roles and trade-offs. Rank only against the current goal."
"COURSE_007","Course Skills Map","Education","Map curriculum to skills and skill depth.","When users ask what skills a course actually develops.","what skills will I learn; does this teach cloud; compare AI skills","Extract skills supported by curriculum evidence. For each skill show where it is taught, expected depth, whether core or optional, and relevance to target role. Separate taught, practised and merely exposed skills."
"COURSE_008","Course to Jobs","Education","Show realistic occupations supported by the course.","When the user asks what jobs a course can lead to.","what jobs can I get; career outcomes; jobs after this degree","Map the course to direct graduate roles, adjacent roles and later-progression roles. Explain whether the course alone is usually sufficient or what additional experience/certification is typically needed."
"COURSE_009","Course to Companies","Education","Identify employers whose roles align with the skills produced by a course.","When users want to know who might value the course or its skills.","which companies hire graduates like this; employers for this course","Map course skills to relevant occupations, then to employers with matching roles or hiring signals. Explain the connection and evidence state for each company."
"COURSE_010","Course Entry Check","Education","Evaluate prerequisites and likely eligibility.","When the user asks if they can get in.","can I get in; entry requirements; do I meet prerequisites","Compare the applicant profile with published entry requirements. Return met, not met, unclear and alternative pathways. Never convert historical entry scores into guarantees."
"COURSE_011","Course Cost and Funding","Education","Explain tuition, funding, subsidy and likely out-of-pocket considerations.","When the user asks about cost, CSP, VET subsidy or funding.","how much; is it funded; CSP; subsidy; payment options","Return published fees and funding pathways relevant to this user. Separate course price, government contribution/subsidy, eligibility rules and estimated user cost. Do not assume eligibility."
"COURSE_012","Study Experience","Education","Describe what studying the course is likely to feel like.","When users care about assessment, workload, practical/theory balance or delivery.","is it exam heavy; what is study like; online or campus; workload","Summarise delivery, assessment types, practical vs theoretical emphasis, timetable model, group work, placements and likely workload using published evidence. Then explain fit with stated learning preferences."
"COURSE_013","Course Gap Analysis","Education","Identify what a specific course does not sufficiently cover for a target occupation.","When users ask whether a specific course is sufficient preparation for a target role, or what the course leaves uncovered â€” not a personal skill gap check.","what will I still need; what is missing; is this enough for the job","Compare course-supported skills with target-role requirements. Return strong coverage, partial coverage, missing capabilities and non-course gaps such as experience, portfolio, licence or certification."
"COURSE_014","Course Freshness","Education","Assess whether a course's content, tools, and topics are up to date with current industry practice.","When a user or institution asks whether a course's content is modern and current â€” not whether it aligns with specific job requirements or long-term industry strategy.","is this course outdated; does it teach modern tools; future ready","Compare curriculum topics, skills and tools with current job and industry signals. Separate durable foundations from fast-changing tools. Identify stale, missing and emerging areas with evidence dates."
"COURSE_015","Course Alternatives and Pathways","Education","Find alternative learning routes that reach the same qualification or career goal by a different path.","When a specific course is ruled out by cost, entry requirements, duration, or fit â€” and the user needs a different route to the same qualification or career outcome, not formal recognition of prior learning.","what else can I do; cheaper option; pathway course; alternative route","Find alternative learning routes that satisfy the goal: qualification, pathway, short course, microcredential, certification, RPL, apprenticeship or experience. Explain trade-offs in time, depth, recognition and outcome."
"COURSE_016","Learning Type Details","Education","Explain different formal and non-formal learning types.","When the user is choosing between degree, VET, short course, microcredential, certification, bootcamp or work-based learning.","degree vs bootcamp; what is a microcredential; certificate vs diploma","Explain what this learning type is, typical depth, recognition, duration, assessment/evidence, best use cases and limitations. Distinguish AQF qualifications from non-AQF learning."
"MICRO_001","Microcredential Details","Education","Evaluate a specific microcredential as a targeted, short-duration skills option.","When a user wants to assess a specific microcredential for fast, targeted upskilling â€” as opposed to a full degree, VET qualification, or general course search.","is this microcredential worth it; short AI course; fast upskilling","Describe learning outcomes, workload, assessment, provider, recognition, credit arrangements if any, target skill gap and where it does or does not substitute for a larger qualification."
"CAREER_001","Career Details","Career","Open an occupation or career profile tied to the user goal.","When a user clicks a career or asks what it is like.","tell me about this career; what does this job do; career details","Summarise the occupation: purpose, main tasks, typical environment, skill level/specialisation, qualifications, key skills/tools, demand, related industries, employers and progression. Expose deeper tools instead of overloading the first response."
"CAREER_002","Career Levels","Career","Show how responsibilities and expectations change from entry to expert/leadership.","When the user wants progression or level-specific requirements.","junior vs senior; career levels; what is next after analyst","Define practical career levels for this occupation using responsibility, autonomy, complexity, influence and scope. For each level show typical work, skill depth and evidence needed. Do not infer level from years alone."
"CAREER_003","Career Specialisations","Career","Explore subfields and specialist pathways within a career.","When a broad career contains materially different directions.","AI specialisations; types of nurses; cybersecurity specialities","List meaningful specialisations, what distinguishes each, core skills, tools, typical employers, entry requirements and adjacent specialisations. Rank relevance to the user goal only when enough context exists."
"CAREER_004","Career Progression","Career","Show realistic next moves and requirements to advance within a current career path or occupation.","When users ask how to advance or progress within their current occupation or career track â€” not when changing to a different career or field.","how do I become senior; career progression; next role","Map likely progression routes, lateral options and specialist/management branches. For each transition show required capability changes, evidence and typical gaps."
"CAREER_005","Career Change Map","Career","Map a transition from a current occupation or industry into a different career or field.","When users want to move from their current occupation or industry into a different career or field â€” not about advancing within their existing career path.","how do I move from accounting to data; change career; transition into AI","Compare current and target role. Identify transferable skills, missing skills, experience gaps, credential gaps, shortest viable bridges and lower-risk adjacent roles. Return a staged transition plan."
"JOB_001","Job / Vacancy Details","Jobs","Explain a specific job opportunity in context.","When a user opens a vacancy or job card.","open this job; what does this role require; job details","Summarise employer, role, seniority, responsibilities, required/preferred skills, tools, qualifications, experience, location/work mode and application requirements. Highlight candidate-specific fit separately."
"JOB_002","Job Requirements","Jobs","Separate essential, preferred and contextual requirements.","When the user asks what is actually required.","what do I need; minimum requirements; must-have vs nice-to-have","Return requirements grouped as essential, preferred, regulated/licensed and employer-specific. For each, show evidence source and whether it is broadly occupational or specific to this employer."
"JOB_003","Job Tasks","Jobs","Show what work is actually performed and at what frequency/importance where known.","When a user wants to understand daily work.","what would I do each day; job tasks; responsibilities","Summarise core tasks, recurring tasks, occasional tasks and decision responsibilities. Link each important task to required skills/tools where evidence exists."
"JOB_004","Job Skills","Jobs","Map a job to skill requirements and depth.","When users ask what skills a role needs.","skills for this job; what should I learn; technical and soft skills","Return skill requirements grouped as foundational, technical/domain, tools/platforms and professional/human. Indicate required depth and whether evidence is occupation-wide, employer-specific or emerging."
"JOB_005","Job Tools and Technologies","Jobs","Identify technologies used in a role and how central they are.","When the user asks what software/equipment they need to know.","what tools do they use; which software should I learn","List tools and technologies with role context: core, common, optional, emerging or legacy. Explain what task each supports and whether the tool or underlying capability should be prioritised."
"JOB_006","Job Outlook and Demand","Jobs","Show whether a career field is a growing field worth getting into, based on labour-market demand and employment prospects.","When users ask if a career or field is a growing field, is worth getting into, has good job prospects, or is in high employment demand.","is this job in demand; future outlook; growth; is this career growing; is it worth getting into this field","Return current employment/demand indicators, shortage status where available and projected direction. Separate current shortage from projected growth. State geography, date and uncertainty."
"JOB_007","Job Location Demand","Jobs","Show how demand varies by location.","When geography materially affects opportunity.","where are these jobs; demand in Perth; regional opportunities","Compare demand signals by region using consistent metrics. Show where opportunity is stronger, where evidence is thin and how relocation/remote work may change the picture."
"JOB_008","AI and Automation Task Impact","Jobs","Assess which tasks within a specific job or occupation are likely to be automated, augmented, or strengthened by AI.","When users ask how AI or automation affects the tasks or responsibilities within a specific job or occupation â€” not the whole industry.","will AI replace this; which tasks get automated; future of this role","Classify tasks as likely automated, AI-augmented, transformed or primarily human-led based on evidence. Then identify capabilities that become more valuable. Avoid declaring the whole occupation obsolete from task exposure alone."
"SKILL_001","Skill Details","Skills","Open a skill and connect it to tasks, roles, industries, companies and learning.","When a user clicks a skill or asks what it means.","tell me about Python; what is stakeholder management; skill details","Explain the skill, subskills, where it is used, typical tasks, roles, industries, associated tools, prerequisites and learning routes. Keep proficiency separate and expose the level tool."
"SKILL_002","Skill Proficiency","Skills","Define what beginner through advanced/expert capability looks like.","When depth matters for job readiness or progression.","how good do I need to be; beginner vs advanced; what level is required","Describe observable capability at relevant proficiency levels using task complexity, autonomy, responsibility and quality of output. Where SFIA applies, map cautiously to SFIA responsibility levels; otherwise use domain-specific levels."
"SKILL_003","Skill Gap","Skills","Compare a person or team's current skill set against the requirements of a target role, level, or employer.","When users want to compare their current skills against the requirements of a specific target role, seniority level, or company â€” not a full readiness check covering experience and credentials.","what am I missing; skills gap; what does my team lack","Compare current vs target skill profile. Return strong, adequate, partial and missing skills, required depth and priority. Separate lack of evidence from lack of skill."
"SKILL_004","Transferable Skills","Skills","Identify which existing skills carry directly into a new role or industry during a transition.","When a user is changing career, being redeployed, or moving internally and wants to know which of their current skills transfer â€” not a general skill gap or gap plan.","what transfers; do I need to start again; skills from teaching to HR","Identify direct-transfer, partially transferable and non-transferable skills. Explain how the same skill is applied differently in the target context and what evidence would make the transfer credible."
"SKILL_005","Next Skills","Skills","Identify and rank the highest-value skills to learn next for a defined target.","When users ask which specific skill to prioritise or learn next â€” without needing a full personal action plan covering experience, credentials, and applications.","what should I learn next; top skills; what would improve my chances","Rank up to 7 next skills by impact on the target, gap severity, transferability, learning effort and market relevance. Explain why each is worth learning now."
"SKILL_006","Skill Trend","Skills","Assess whether a specific skill or capability is growing, declining, or still in demand.","When users ask whether a particular skill or capability is still relevant, in demand, rising, or declining â€” not about a technology tool and not about a whole career field.","is this skill growing; is Java dying; emerging skills","Assess trend direction using dated demand signals. Separate the underlying skill from specific tools. Show where demand is rising/falling, affected roles, drivers and confidence."
"SKILL_007","Skill Replacement / Evolution","Skills","Show whether an older skill or capability is being replaced, absorbed, or transformed by something newer.","When users specifically ask what is replacing a skill, whether a skill is becoming obsolete, or whether it is still worth learning given newer alternatives.","what replaces this; outdated tools; should I still learn it","Identify whether the capability is declining, being automated, renamed, absorbed into a broader skill or complemented by a new one. Return successor/adjacent capabilities and migration advice."
"SKILL_008","Skill Adjacencies","Skills","Find skills that are easier or more valuable to learn because of an existing skill.","When building efficient upskilling paths.","what should I learn after SQL; related skills; easiest adjacent skills","Return prerequisite, complementary and next-step skills. Explain why the adjacency exists and whether it improves breadth, depth or transition potential."
